street,area
Пчілки,130.0
Лейпцизька,40.0
Басейна,56.0
Шаповала,75.0
Бережанська,98.0
Бойчука,0.0
Перемоги,51.0
Івана Федорова,32.0
Антоновича,308.0
Вільямса,30.0
Бойчука,90.0
Перемоги,61.0
Ковпака,105.0
Русанівський,32.0
Українки,27.0
Празька,37.0
Гончара,76.0
Маккейна,75.0
Балтійський,65.0
Білоруська,114.0
Драгоманова,152.0
Липківського,115.0
Новогоспітальна,89.0
Радченка,70.0
Богомольця,0.0
Донця,0.0
Оболонський,85.0
Щекавицька,83.0
Пожарського,119.0
Полкова,100.0
Донця,42.0
Палладіна,44.0
Бойчука,262.0
Липківського,125.0
Павлівська,35.0
Івашкевича,51.0
Іскрівська,66.0
Максимовича,68.0
*** not found,70.0
Драгомирова,113.0
Теремківська,0.0
Осокорська,108.0
Дмитрівська,46.0
Кондратюка,60.0
Регенераторна,125.0
,58.0
Глибочицька,0.0
Героїв Сталінграда,120.0
Борщагівська,68.0
Ревуцького,42.0
Юнацька,69.0
Заболотного,86.0
Автозаводська,32.0
Заболотного,0.0
Саксаганського,52.0
Зарічна,92.0
*** not found,60.0
Невська,0.0
Героїв Сталінграда,189.0
Вишняківська,59.0
Драгомирова,69.0
Драгомирова,48.0
Гавела,62.0
Здолбунівська,87.0
Драгомирова,83.0
Мечнікова,65.0
*** not found,37.0
Максимовича,56.0
Багговутівська,64.0
Шолуденка,78.0
Щекавицька,64.0
Коласа,37.0
*** not found,117.0
*** not found,45.0
Перемоги,42.0
*** not found,115.0
Наумова,0.0
Перемоги,76.0
Велика Васильківська,115.0
Червоноткацька,0.0
Вишгородська,0.0
